,day,confirmed,recovered,deaths,date,country
0,0,537,8,21,2020-03-08,America
1,1,605,8,22,2020-03-07,America
2,2,959,8,28,2020-03-11,America
3,3,1281,8,36,2020-03-10,America
4,4,1663,12,40,2020-03-14,America
5,5,2179,12,47,2020-03-12,America
6,6,2726,12,54,2020-03-16,America
7,7,3499,12,63,2020-03-15,America
8,8,4632,17,85,2020-03-13,America
9,9,6421,17,108,2020-03-17,America
10,10,7786,106,118,2020-03-19,America
11,11,13680,108,200,2020-03-18,America
12,12,19101,147,244,2020-03-20,America
13,13,25514,171,307,2020-03-21,America
14,14,33848,0,427,2020-03-22,America
15,15,43667,0,552,2020-03-23,America
16,16,53740,348,706,2020-03-24,America
17,17,65778,361,942,2020-03-25,America
18,18,83836,681,1209,2020-03-26,America
19,19,101657,869,1581,2020-03-27,America
20,20,121478,1072,2026,2020-03-28,America
21,21,140909,2665,2467,2020-03-29,America
22,22,161837,5644,2978,2020-03-30,America
23,23,188172,7024,3873,2020-03-31,America
24,24,213372,8474,4757,2020-04-01,America
25,25,243453,9001,5926,2020-04-02,America
26,26,275586,9707,7087,2020-04-03,America
27,27,308850,14652,8407,2020-04-04,America
28,28,337072,17448,9619,2020-04-05,America
29,29,366667,19581,10783,2020-04-06,America
30,0,500,30,10,2020-03-07,Spain
31,1,673,30,17,2020-03-08,Spain
32,2,1073,32,28,2020-03-09,Spain
33,3,1695,32,35,2020-03-10,Spain
34,4,2277,183,54,2020-03-13,Spain
35,5,2277,183,55,2020-03-11,Spain
36,6,5232,193,133,2020-03-12,Spain
37,7,6391,517,195,2020-03-14,Spain
38,8,7798,517,289,2020-03-15,Spain
39,9,9942,530,342,2020-03-16,Spain
40,10,11748,1028,533,2020-03-17,Spain
41,11,13910,1081,623,2020-03-18,Spain
42,12,17963,1107,830,2020-03-19,Spain
43,13,20410,1588,1043,2020-03-20,Spain
44,14,25374,2125,1375,2020-03-21,Spain
45,15,28603,2125,1756,2020-03-22,Spain
46,16,35136,3355,2311,2020-03-23,Spain
47,17,39885,3794,2808,2020-03-24,Spain
48,18,49515,5367,3647,2020-03-25,Spain
49,19,57786,7015,4365,2020-03-26,Spain
50,20,65719,9357,5138,2020-03-27,Spain
51,21,73235,12285,5982,2020-03-28,Spain
52,22,80110,14709,6803,2020-03-29,Spain
53,23,87956,16780,7716,2020-03-30,Spain
54,24,95923,19259,8464,2020-03-31,Spain
55,25,104118,22647,9387,2020-04-01,Spain
56,26,112065,26743,10348,2020-04-02,Spain
57,27,119199,30513,11198,2020-04-03,Spain
58,28,126168,34219,11947,2020-04-04,Spain
59,29,131646,38080,12641,2020-04-05,Spain
60,30,136675,40437,13341,2020-04-06,Spain
61,0,655,45,17,2020-02-27,Italy
62,1,888,46,21,2020-02-28,Italy
63,2,1128,46,29,2020-02-29,Italy
64,3,1694,83,34,2020-03-01,Italy
65,4,2036,149,52,2020-03-02,Italy
66,5,2502,160,79,2020-03-03,Italy
67,6,3089,276,107,2020-03-04,Italy
68,7,3858,414,148,2020-03-05,Italy
69,8,4636,523,197,2020-03-06,Italy
70,9,5883,589,233,2020-03-07,Italy
71,10,7375,622,366,2020-03-08,Italy
72,11,9172,724,463,2020-03-09,Italy
73,12,10149,724,631,2020-03-10,Italy
74,13,12462,1045,827,2020-03-13,Italy
75,14,12462,1045,827,2020-03-11,Italy
76,15,17660,1439,1266,2020-03-12,Italy
77,16,21157,1966,1441,2020-03-14,Italy
78,17,24747,2335,1809,2020-03-15,Italy
79,18,27980,2749,2158,2020-03-16,Italy
80,19,31506,2941,2503,2020-03-17,Italy
81,20,35713,4025,2978,2020-03-18,Italy
82,21,41035,4440,3405,2020-03-19,Italy
83,22,47021,4440,4032,2020-03-20,Italy
84,23,53578,6072,4825,2020-03-21,Italy
85,24,59138,7024,5476,2020-03-22,Italy
86,25,63927,7432,6077,2020-03-23,Italy
87,26,69176,8326,6820,2020-03-24,Italy
88,27,74386,9362,7503,2020-03-25,Italy
89,28,80589,10361,8215,2020-03-26,Italy
90,29,86498,10950,9134,2020-03-27,Italy
91,30,92472,12384,10023,2020-03-28,Italy
92,31,97689,13030,10779,2020-03-29,Italy
93,32,101739,14620,11591,2020-03-30,Italy
94,33,105792,15729,12428,2020-03-31,Italy
95,34,110574,16847,13155,2020-04-01,Italy
96,35,115242,18278,13915,2020-04-02,Italy
97,36,119827,19758,14681,2020-04-03,Italy
98,37,124632,20996,15362,2020-04-04,Italy
99,38,128948,21815,15887,2020-04-05,Italy
100,39,132547,22837,16523,2020-04-06,Italy
101,0,670,17,0,2020-03-06,Germany
102,1,799,18,0,2020-03-07,Germany
103,2,1040,18,0,2020-03-08,Germany
104,3,1176,18,2,2020-03-09,Germany
105,4,1457,18,2,2020-03-10,Germany
106,5,1908,25,3,2020-03-11,Germany
107,6,2078,25,3,2020-03-13,Germany
108,7,3675,46,7,2020-03-12,Germany
109,8,4585,46,9,2020-03-14,Germany
110,9,5795,46,11,2020-03-15,Germany
111,10,7272,67,17,2020-03-16,Germany
112,11,9257,67,24,2020-03-17,Germany
113,12,12327,105,28,2020-03-18,Germany
114,13,15320,113,44,2020-03-19,Germany
115,14,19848,180,67,2020-03-20,Germany
116,15,22213,233,84,2020-03-21,Germany
117,16,24873,266,94,2020-03-22,Germany
118,17,29056,453,123,2020-03-23,Germany
119,18,32986,3243,157,2020-03-24,Germany
120,19,37323,3547,206,2020-03-25,Germany
121,20,43938,5673,267,2020-03-26,Germany
122,21,50871,6658,342,2020-03-27,Germany
123,22,57695,8481,433,2020-03-28,Germany
124,23,62095,9211,533,2020-03-29,Germany
125,24,66885,13500,645,2020-03-30,Germany
126,25,71808,16100,775,2020-03-31,Germany
127,26,77872,18700,920,2020-04-01,Germany
128,27,84794,22440,1107,2020-04-02,Germany
129,28,91159,24575,1275,2020-04-03,Germany
130,29,96092,26400,1444,2020-04-04,Germany
131,30,100123,28700,1584,2020-04-05,Germany
132,31,103374,28700,1810,2020-04-06,Germany
133,0,653,12,9,2020-03-06,France
134,1,949,12,11,2020-03-07,France
135,2,1126,12,19,2020-03-08,France
136,3,1209,12,19,2020-03-09,France
137,4,1784,12,33,2020-03-10,France
138,5,2284,12,48,2020-03-13,France
139,6,2284,12,48,2020-03-12,France
140,7,3667,12,79,2020-03-11,France
141,8,4480,12,91,2020-03-15,France
142,9,4513,12,91,2020-03-14,France
143,10,6650,12,148,2020-03-17,France
144,11,7683,12,148,2020-03-16,France
145,12,9052,12,148,2020-03-18,France
146,13,10886,12,243,2020-03-21,France
147,14,12632,12,450,2020-03-20,France
148,15,14308,12,562,2020-03-19,France
149,16,16214,2201,676,2020-03-22,France
150,17,20123,2207,862,2020-03-23,France
151,18,22622,3288,1102,2020-03-24,France
152,19,25600,3907,1333,2020-03-25,France
153,20,29551,4955,1698,2020-03-26,France
154,21,33402,5707,1997,2020-03-27,France
155,22,38105,5724,2317,2020-03-28,France
156,23,40708,7226,2611,2020-03-29,France
157,24,45170,7964,3030,2020-03-30,France
158,25,52827,9513,3532,2020-03-31,France
159,26,57749,11053,4043,2020-04-01,France
160,27,59929,12548,5398,2020-04-02,France
161,28,65202,14135,6520,2020-04-03,France
162,29,90848,15572,7574,2020-04-04,France
163,30,93773,16349,8093,2020-04-05,France
164,31,98963,17428,8926,2020-04-06,France
165,0,547,28,17,2020-01-22,China
166,1,639,30,18,2020-01-23,China
167,2,916,36,26,2020-01-24,China
168,3,1399,39,42,2020-01-25,China
169,4,2062,49,56,2020-01-26,China
170,5,2863,58,82,2020-01-27,China
171,6,5494,101,131,2020-01-28,China
172,7,6070,120,133,2020-01-29,China
173,8,8124,135,171,2020-01-30,China
174,9,9783,214,213,2020-02-01,China
175,10,11871,275,259,2020-01-31,China
176,11,16607,463,361,2020-02-02,China
177,12,19693,614,425,2020-02-10,China
