,confirmed,country,date,datetime,deaths,file_date,province,recovered
0,1,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Anhui,0
18,0,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Jilin,0
1,14,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Beijing,0
2,6,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Chongqing,0
3,1,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Fujian,0
4,0,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Gansu,0
6,2,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Guangxi,0
7,1,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Guizhou,0
17,2,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Jiangxi,0
8,4,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Hainan,0
11,5,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Henan,0
12,0,Hong Kong,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Hong Kong,0
13,444,China,2020-01-22,2020-01-22 17:00:00,17,2020-01-22,Hubei,28
14,4,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Hunan,0
15,0,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Inner Mongolia,0
9,1,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Hebei,0
16,1,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Jiangsu,0
10,0,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Heilongjiang,0
30,0,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Tibet,0
5,26,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Guangdong,0
29,4,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Tianjin,0
19,2,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Liaoning,0
21,1,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Ningxia,0
22,0,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Qinghai,0
23,0,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Shaanxi,0
24,2,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Shandong,0
26,1,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Shanxi,0
27,5,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Sichuan,0
20,1,Macau,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Macau,0
25,9,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Shanghai,0
28,1,Taiwan,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Taiwan,0
31,1,America,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Washington,0
32,0,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Xinjiang,0
33,1,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Yunnan,0
34,10,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Zhejiang,0
35,2,Japan,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Japan,0
36,2,Thailand,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Thailand,0
37,1,South Korea,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,South Korea,0
45,3,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Guizhou,0
44,5,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Guangxi,0
43,32,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Guangdong,2
42,2,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Gansu,0
60,0,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Qinghai,0
40,9,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Chongqing,0
38,9,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Anhui,0
46,5,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Hainan,0
41,5,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Fujian,0
47,1,China,2020-01-23,2020-01-23 17:00:00,1,2020-01-23,Hebei,0
50,2,Hong Kong,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Hong Kong,0
48,2,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Heilongjiang,0
57,3,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Liaoning,0
56,1,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Jilin,0
55,7,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Jiangxi,0
58,2,Macau,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Macau,0
53,0,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Inner Mongolia,0
52,9,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Hunan,0
54,5,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Jiangsu,0
59,1,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Ningxia,0
49,5,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Henan,0
51,444,China,2020-01-23,2020-01-23 17:00:00,17,2020-01-23,Hubei,28
39,22,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Beijing,0
73,1,Japan,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Japan,0
63,16,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Shanghai,0
69,1,America,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Washington,0
68,0,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Tibet,0
64,1,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Shanxi,0
66,1,Taiwan,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Taiwan,0
65,8,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Sichuan,0
71,2,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Yunnan,0
67,4,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Tianjin,0
72,27,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Zhejiang,0
81,0,Mexico,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Mexico,0
70,2,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Xinjiang,0
61,3,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Shaanxi,0
75,1,South Korea,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,South Korea,0
76,1,Singapore,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Singapore,0
77,0,Philippines,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Philippines,0
78,0,Malaysia,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Malaysia,0
79,2,Vietnam,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Vietnam,0
80,0,Australia,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Australia,0
82,0,Brazil,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Brazil,0
83,0,Colombia,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Colombia,0
62,6,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Shandong,0
74,3,Thailand,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Thailand,0
90,23,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Guangxi,0
88,27,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Chongqing,0
87,36,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Beijing,1
104,4,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Liaoning,0
85,53,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Guangdong,2
84,549,China,2020-01-24,2020-01-24 17:00:00,24,2020-01-24,Hubei,31
91,20,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Shanghai,1
86,43,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Zhejiang,1
92,18,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Jiangxi,0
98,9,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Jiangsu,0
94,15,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Shandong,0
102,5,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Shaanxi,0
93,15,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Sichuan,0
99,8,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Hainan,0
