,date,new_confirmed_cases,new_deaths,new_recoveries,confirmed_MA,deaths_MA,recovered_MA,confirmed_exp_MA,deaths_exp_MA,recovered_exp_MA,currently_infected,delta
0,2020-01-22,555,17,28,nan,nan,nan,555.0,17.0,28.0,510,-45
1,2020-01-23,98,1,2,326.5,9.0,15.0,212.24999999999997,5.0,8.5,605,-48
2,2020-01-24,288,8,6,193.0,4.5,4.0,264.6923076923077,7.076923076923077,6.769230769230769,879,-62
3,2020-01-25,497,16,3,392.5,12.0,4.5,421.49999999999994,13.1,4.225,1357,-81
4,2020-01-26,680,14,13,588.5,15.0,8.0,594.5454545454545,13.702479338842975,10.099173553719009,2010,-108
5,2020-01-27,809,26,9,744.5,20.0,11.0,737.7115384615385,21.91208791208791,9.365384615384615,2784,-143
6,2020-01-28,2651,49,46,1730.0,37.5,27.5,2013.8206770356815,39.978956999085085,33.7996340347667,5340,-238
7,2020-01-29,587,2,19,1619.0,25.5,32.5,1062.4618902439024,14.655792682926831,23.931707317073172,5906,-259
8,2020-01-30,2070,38,17,1328.5,20.0,18.0,1734.188090641195,30.219388273549438,19.31033431561833,7921,-314
9,2020-01-31,1690,42,79,1880.0,40.0,48.0,1704.728864652486,38.07326243056496,59.10411868310526,9490,-435
10,2020-02-01,2113,46,62,1901.5,44.0,70.5,1976.9111580278418,43.35778397480045,61.034717125986475,11495,-543
11,2020-02-02,4749,103,188,3431.0,74.5,125.0,3824.9738634653017,83.11933614330874,145.67839831401474,15953,-834
12,2020-02-03,3094,64,151,3921.5,83.5,169.5,3337.65764883129,70.37310405300812,149.22613499656907,18832,-1049
13,2020-02-04,4011,66,229,3552.5,65.0,190.0,3786.552643463222,67.4577007414643,202.40872278468098,22548,-1344
14,2020-02-05,3744,72,272,3877.5,69.0,250.5,3758.1842125106964,70.48590045819522,248.80291082818442,25948,-1688
15,2020-02-06,3182,70,363,3463.0,71.0,317.5,3374.0613952468384,70.16196681187324,324.9343053779707,28697,-2121
16,2020-02-07,3574,85,524,3378.0,77.5,443.5,3507.353799447766,80.0539890138902,457.6447694869703,31662,-2730
17,2020-02-08,2729,87,605,3151.5,86.0,564.5,2988.45126514321,84.68466301658265,555.8815900825565,33699,-3422
18,2020-02-09,3030,100,628,2879.5,93.5,616.5,3016.150421738235,94.894887680979,603.9605300688855,36001,-4150
19,2020-02-10,2612,107,702,2821.0,103.5,665.0,2746.7168071688056,102.9649625626408,669.3201767083734,37804,-4959
20,2020-02-11,2040,100,737,2326.0,103.5,719.5,2275.5722690112275,100.98832085402465,714.4400589071047,39007,-5796
21,2020-02-12,419,5,467,1229.5,52.5,602.0,1037.8574229643011,36.99610694930235,549.4800196304449,38954,-6268
