Date,State,Confirmed,Deaths,Recovered
03/10/2020,Alaska,0.0,0.0,0.0
03/10/2020,Arizona,6.0,0.0,1.0
03/10/2020,Arkansas,0.0,0.0,0.0
03/10/2020,California,144.0,2.0,2.0
03/10/2020,Colorado,15.0,0.0,0.0
03/10/2020,Connecticut,2.0,0.0,0.0
03/10/2020,Delaware,0.0,0.0,0.0
03/10/2020,Florida,15.0,2.0,0.0
03/10/2020,Georgia,17.0,0.0,0.0
03/10/2020,Hawaii,2.0,0.0,0.0
03/10/2020,Idaho,0.0,0.0,0.0
03/10/2020,Illinois,12.0,0.0,2.0
03/10/2020,Indiana,6.0,0.0,0.0
03/10/2020,Iowa,8.0,0.0,0.0
03/10/2020,Kansas,1.0,0.0,0.0
03/10/2020,Kentucky,6.0,0.0,0.0
03/10/2020,Louisiana,1.0,0.0,0.0
03/10/2020,Maine,0.0,0.0,0.0
03/10/2020,Maryland,8.0,0.0,0.0
03/10/2020,Massachusetts,92.0,0.0,1.0
03/10/2020,Michigan,0.0,0.0,0.0
03/10/2020,Minnesota,3.0,0.0,0.0
03/10/2020,Mississippi,0.0,0.0,0.0
03/10/2020,Missouri,1.0,0.0,0.0
03/10/2020,Montana,0.0,0.0,0.0
03/10/2020,Nebraska,3.0,0.0,0.0
03/10/2020,Nevada,4.0,0.0,0.0
03/10/2020,New Hampshire,4.0,0.0,0.0
03/10/2020,New Jersey,15.0,1.0,0.0
03/10/2020,New Mexico,0.0,0.0,0.0
03/10/2020,New York,173.0,0.0,0.0
03/10/2020,North Carolina,7.0,0.0,0.0
03/10/2020,North Dakota,0.0,0.0,0.0
03/10/2020,Ohio,3.0,0.0,0.0
03/10/2020,Oklahoma,2.0,0.0,0.0
03/10/2020,Oregon,15.0,0.0,0.0
03/10/2020,Pennsylvania,12.0,0.0,0.0
03/10/2020,Rhode Island,3.0,0.0,0.0
03/10/2020,South Carolina,7.0,0.0,0.0
03/10/2020,South Dakota,0.0,0.0,0.0
03/10/2020,Tennessee,7.0,0.0,0.0
03/10/2020,Texas,13.0,0.0,0.0
03/10/2020,Utah,2.0,0.0,0.0
03/10/2020,Vermont,1.0,0.0,0.0
03/10/2020,Virginia,7.0,0.0,0.0
03/10/2020,Washington,267.0,23.0,1.0
03/10/2020,West Virginia,0.0,0.0,0.0
03/10/2020,Wisconsin,3.0,0.0,1.0
03/10/2020,Wyoming,0.0,0.0,0.0
03/11/2020,Alaska,0.0,0.0,0.0
03/11/2020,Arizona,9.0,0.0,1.0
03/11/2020,Arkansas,1.0,0.0,0.0
03/11/2020,California,177.0,3.0,2.0
03/11/2020,Colorado,34.0,0.0,0.0
03/11/2020,Connecticut,3.0,0.0,0.0
03/11/2020,Delaware,1.0,0.0,0.0
03/11/2020,Florida,28.0,2.0,0.0
03/11/2020,Georgia,23.0,0.0,0.0
03/11/2020,Hawaii,2.0,0.0,0.0
03/11/2020,Idaho,0.0,0.0,0.0
03/11/2020,Illinois,25.0,0.0,2.0
03/11/2020,Indiana,11.0,0.0,0.0
03/11/2020,Iowa,13.0,0.0,0.0
03/11/2020,Kansas,1.0,0.0,0.0
03/11/2020,Kentucky,8.0,0.0,0.0
03/11/2020,Louisiana,6.0,0.0,0.0
03/11/2020,Maine,0.0,0.0,0.0
03/11/2020,Maryland,9.0,0.0,0.0
03/11/2020,Massachusetts,95.0,0.0,1.0
03/11/2020,Michigan,2.0,0.0,0.0
03/11/2020,Minnesota,5.0,0.0,0.0
03/11/2020,Mississippi,0.0,0.0,0.0
03/11/2020,Missouri,1.0,0.0,0.0
03/11/2020,Montana,1.0,0.0,0.0
03/11/2020,Nebraska,5.0,0.0,0.0
03/11/2020,Nevada,7.0,0.0,0.0
03/11/2020,New Hampshire,5.0,0.0,0.0
03/11/2020,New Jersey,23.0,1.0,0.0
03/11/2020,New Mexico,3.0,0.0,0.0
03/11/2020,New York,220.0,0.0,0.0
03/11/2020,North Carolina,7.0,0.0,0.0
03/11/2020,North Dakota,0.0,0.0,0.0
03/11/2020,Ohio,4.0,0.0,0.0
03/11/2020,Oklahoma,2.0,0.0,0.0
03/11/2020,Oregon,19.0,0.0,0.0
03/11/2020,Pennsylvania,16.0,0.0,0.0
03/11/2020,Rhode Island,5.0,0.0,0.0
03/11/2020,South Carolina,10.0,0.0,0.0
03/11/2020,South Dakota,8.0,1.0,0.0
03/11/2020,Tennessee,9.0,0.0,0.0
03/11/2020,Texas,21.0,0.0,0.0
03/11/2020,Utah,3.0,0.0,0.0
03/11/2020,Vermont,1.0,0.0,0.0
03/11/2020,Virginia,9.0,0.0,0.0
03/11/2020,Washington,366.0,29.0,1.0
03/11/2020,West Virginia,0.0,0.0,0.0
03/11/2020,Wisconsin,6.0,0.0,1.0
03/11/2020,Wyoming,0.0,0.0,0.0
03/12/2020,Alaska,0.0,0.0,0.0
03/12/2020,Arizona,9.0,0.0,1.0
03/12/2020,Arkansas,6.0,0.0,0.0
03/12/2020,California,221.0,4.0,6.0
03/12/2020,Colorado,45.0,0.0,0.0
03/12/2020,Connecticut,5.0,0.0,0.0
03/12/2020,Delaware,1.0,0.0,0.0
03/12/2020,Florida,35.0,2.0,0.0
03/12/2020,Georgia,31.0,1.0,0.0
03/12/2020,Hawaii,2.0,0.0,0.0
03/12/2020,Idaho,0.0,0.0,0.0
03/12/2020,Illinois,32.0,0.0,2.0
03/12/2020,Indiana,13.0,0.0,0.0
03/12/2020,Iowa,16.0,0.0,0.0
03/12/2020,Kansas,1.0,0.0,0.0
03/12/2020,Kentucky,10.0,0.0,0.0
03/12/2020,Louisiana,19.0,0.0,0.0
03/12/2020,Maine,0.0,0.0,0.0
03/12/2020,Maryland,12.0,0.0,0.0
03/12/2020,Massachusetts,108.0,0.0,1.0
03/12/2020,Michigan,2.0,0.0,0.0
