,confirmed,country,date,deaths,province,recovered
37,1,South Korea,2020-01-22,0,,0
15,0,China,2020-01-22,0,Inner Mongolia,0
14,4,China,2020-01-22,0,Hunan,0
13,444,China,2020-01-22,0,Hubei,0
12,,China,2020-01-22,0,Hong Kong,0
11,5,China,2020-01-22,0,Henan,0
10,,China,2020-01-22,0,Heilongjiang,0
9,1,China,2020-01-22,0,Hebei,0
16,1,China,2020-01-22,0,Jiangsu,0
8,4,China,2020-01-22,0,Hainan,0
6,2,China,2020-01-22,0,Guangxi,0
5,26,China,2020-01-22,0,Guangdong,0
4,0,China,2020-01-22,0,Gansu,0
3,1,China,2020-01-22,0,Fujian,0
2,6,China,2020-01-22,0,Chongqing,0
1,14,China,2020-01-22,0,Beijing,0
0,1,China,2020-01-22,0,Anhui,0
7,1,China,2020-01-22,0,Guizhou,0
17,2,China,2020-01-22,0,Jiangxi,0
36,2,Thailand,2020-01-22,0,,0
19,2,China,2020-01-22,0,Liaoning,0
35,2,Japan,2020-01-22,0,,0
34,10,China,2020-01-22,0,Zhejiang,0
33,1,China,2020-01-22,0,Yunnan,0
32,0,China,2020-01-22,0,Xinjiang,0
31,1,US,2020-01-22,0,Washington,0
30,0,China,2020-01-22,0,Tibet,0
29,4,China,2020-01-22,0,Tianjin,0
28,1,China,2020-01-22,0,Taiwan,0
18,,China,2020-01-22,0,Jilin,0
26,1,China,2020-01-22,0,Shanxi,0
25,9,China,2020-01-22,0,Shanghai,0
24,2,China,2020-01-22,0,Shandong,0
23,0,China,2020-01-22,0,Shaanxi,0
22,0,China,2020-01-22,0,Qinghai,0
21,1,China,2020-01-22,0,Ningxia,0
20,1,China,2020-01-22,0,Macau,0
27,5,China,2020-01-22,0,Sichuan,0
12,2,Hong Kong,2020-01-23,0,Hong Kong,0
13,444,Mainland China,2020-01-23,0,Hubei,0
14,9,Mainland China,2020-01-23,0,Hunan,0
18,1,Mainland China,2020-01-23,0,Jilin,0
17,7,Mainland China,2020-01-23,0,Jiangxi,0
11,5,Mainland China,2020-01-23,0,Henan,0
19,3,Mainland China,2020-01-23,0,Liaoning,0
15,,Mainland China,2020-01-23,0,Inner Mongolia,0
10,2,Mainland China,2020-01-23,0,Heilongjiang,0
7,3,Mainland China,2020-01-23,0,Guizhou,0
8,5,Mainland China,2020-01-23,0,Hainan,0
20,2,Macau,2020-01-23,0,Macau,0
6,5,Mainland China,2020-01-23,0,Guangxi,0
5,32,Mainland China,2020-01-23,0,Guangdong,0
4,2,Mainland China,2020-01-23,0,Gansu,0
3,5,Mainland China,2020-01-23,0,Fujian,0
2,9,Mainland China,2020-01-23,0,Chongqing,0
1,22,Mainland China,2020-01-23,0,Beijing,0
0,9,Mainland China,2020-01-23,0,Anhui,0
9,1,Mainland China,2020-01-23,0,Hebei,0
22,0,Mainland China,2020-01-23,0,Qinghai,0
16,5,Mainland China,2020-01-23,0,Jiangsu,0
24,6,Mainland China,2020-01-23,0,Shandong,0
45,,Colombia,2020-01-23,0,,0
23,3,Mainland China,2020-01-23,0,Shaanxi,0
43,,Mexico,2020-01-23,0,,0
42,,Australia,2020-01-23,0,,0
41,2,Vietnam,2020-01-23,0,,0
40,,Malaysia,2020-01-23,0,,0
39,,Philippines,2020-01-23,0,,0
38,1,Singapore,2020-01-23,0,,0
37,1,South Korea,2020-01-23,0,,0
36,3,Thailand,2020-01-23,0,,0
35,1,Japan,2020-01-23,0,,0
44,,Brazil,2020-01-23,0,,0
33,2,Mainland China,2020-01-23,0,Yunnan,0
34,27,Mainland China,2020-01-23,0,Zhejiang,0
25,16,Mainland China,2020-01-23,0,Shanghai,0
